연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,5:00,6:00,7:00,8:00,9:00,0:00
26,평일,3,321,충무로,하행,8.6,27.5,46.6,74.6,50.4,34.6,32.9,28.4,41.4,36,34.3,51,36.4,45.3,20.8,15.2,17.7,25.8,16.8,,,,,,
27,평일,3,322,동대입구,상행,3.3,6.8,23.2,33.4,24.2,21.6,26.4,33.2,33,31.7,43.9,37.6,54,69.1,54.3,34,30.5,44,25.2,,,,,,
28,평일,3,322,동대입구,하행,8.5,26.4,44.3,69.9,50.2,33.6,31.6,29,39,35.9,34.4,52,37.3,46.6,22,15.6,19.4,27,16.8,,,,,,
29,평일,3,323,약수,상행,4.2,7.2,24.2,35.6,24.6,23.1,26.8,33.5,33.2,31.4,43,36.4,50,67.6,51.2,32.4,29.2,42,24.8,,,,,,
30,평일,3,323,약수,하행,10.8,30.8,51.6,84.2,59.4,38.5,35.9,32.2,43.4,39,36.2,54.4,40,48.2,22.5,16.6,20,28.3,17.8,,,,,,
31,평일,3,324,금호,상행,4,7.2,23.6,35.8,25.3,24,28.6,36.2,35.8,34.6,48.5,40.8,60.6,82,60,38.2,34.8,47.2,34,,,,,,
32,평일,3,324,금호,하행,12.2,31.1,52.8,86.6,62.4,38.6,36.4,32.4,43.7,39.9,35.9,53.4,38.7,46.6,22.4,16.2,19,26.2,16.5,,,,,,
33,평일,3,325,옥수,상행,3.2,6.6,23,32.4,24.1,23.2,27.7,37,34.3,35.8,49.4,41.5,61,85.2,61.6,39.3,35.8,48.8,28,,,,,,
34,평일,3,325,옥수,하행,15.6,33.6,56.8,94.6,71.4,42.8,40,34.8,47,43.7,36.9,56,41.2,48.3,22.8,16.3,19,25.8,20,,,,,,
35,평일,3,326,압구정,상행,2.8,7,22.8,31,23.6,24.5,29,39,36.6,39.8,54.6,45.8,67.8,94.9,67.1,43.4,41.9,53.6,31.4,,,,,,
36,평일,3,326,압구정,하행,7.8,29.9,51.8,82.1,58.2,35.7,38,33.2,42.7,43.4,37.8,58.3,43.5,53,28.8,20.6,22.4,37.5,21.1,,,,,,
37,평일,3,327,신사,상행,2.6,8.2,25.8,36.9,32.4,30.2,31.6,41.2,38.1,39.9,52.8,43.2,64.8,87.4,57.4,36.5,38.4,45.8,26.3,,,,,,
38,평일,3,327,신사,하행,7.6,29,43.5,72,48.7,31.9,36.5,32.8,44,43.4,40,60.4,50.6,59.9,36,26.4,30.4,42.1,27.8,,,,,,
39,평일,3,328,잠원,상행,2.8,10.6,32,44.7,49.1,38,35.4,46.8,39.5,43,53.9,43.2,62.9,82.4,49,32.8,32,38.6,22.6,,,,,,
40,평일,3,328,잠원,하행,7.6,29.2,44.2,73.4,51.8,31.6,37,33.2,44.6,44.6,40.2,60,51,59.4,37.4,25.8,29.6,41.8,27.2,,,,,,
41,평일,3,329,고속터미널,상행,2.8,11,32,44.6,49,37.6,35.4,47.2,40.9,42.8,54,43.3,63.1,83.8,49.1,33,33,39.6,23.5,,,,,,
42,평일,3,329,고속터미널,하행,8.4,35.4,60.8,103.5,68.2,37.2,41.3,38,51.8,48.4,43,63.4,57,62.6,38.6,29,30.4,40.4,26.6,,,,,,
43,평일,3,330,교대,상행,3.2,13.5,38.9,47.4,42,39.1,39.5,52.7,44,50.1,60,54.9,79.2,111.2,61.8,38.9,40.9,47.8,29.8,,,,,,
44,평일,3,330,교대,하행,10.5,34,52.2,89.2,48.1,28.1,30.8,31,39,39.2,34.2,51.6,48.4,51.2,31.6,23.8,27,31.5,26,,,,,,
45,평일,3,331,남부터미널,상행,3,11.1,37.2,43,35.6,33.7,33.3,42.7,34,38.6,46.8,44,64.6,89.6,45.3,31,31.5,39.3,20.4,,,,,,
46,평일,3,331,남부터미널,하행,9,28.8,46,67.2,39.4,22.6,26,26.6,31.6,36.2,29.7,43.8,44.9,49.5,29.8,22.8,25.4,30.2,24.2,,,,,,
47,평일,3,332,양재,상행,3.2,12,36.4,45.7,34.6,30.6,29.5,38.8,29.2,34.3,38.8,37.4,54.4,74.2,37.4,24.2,26.1,32.4,12.7,,,,,,
48,평일,3,332,양재,하행,3,16.2,21.6,28.8,17.5,12.6,16,17.8,20.6,24.4,20.2,29.6,33.7,36,20.7,16.5,18.7,18.6,23,,,,,,
49,평일,3,333,매봉,상행,3.2,9.8,29.8,39.8,27,21.6,19.5,26.4,19.5,22.1,25,23.4,30.2,34.9,16.8,11.4,13.2,18.3,7.7,,,,,,
50,평일,3,333,매봉,하행,3.2,14.6,19.1,21.9,13.4,11.5,13.8,17.2,18.9,23.8,20,29,33.9,35.4,21.3,16.3,18.7,17.9,21.7,,,,,,
51,평일,3,334,도곡,상행,3,9.5,29.1,40.8,26.6,20.6,18.6,25,17.8,20,22.6,21.2,26.2,28,14.2,10,10.6,16.2,7.2,,,,,,
52,평일,3,334,도곡,하행,3,13.2,17,19.8,11.1,10.2,11.7,15.4,17,21.2,18.8,26,29.3,30.9,19.2,14.4,16.8,16.5,19.6,,,,,,
53,평일,3,335,대치,상행,2.6,9,28.4,37.7,24,18.4,16.6,22.4,15.8,18,19.9,18.8,23.5,23.5,12,8.4,9,14.8,6,,,,,,
54,평일,3,335,대치,하행,3.2,11.8,15.6,17.3,10.8,8.7,10,12.8,14,17.9,16.3,22.8,26.4,28.3,17.8,14,14.8,17.1,17.4,,,,,,
55,평일,3,336,학여울,상행,2.6,7.6,25,36,22.6,17.3,15.4,20.3,14.8,17.2,19.2,17.6,21.4,21.2,9.7,7.1,6.8,8.8,5.5,,,,,,
56,평일,3,336,학여울,하행,3.2,11.8,15.4,17.1,10.3,8.1,9.3,12.2,13.3,16.6,15.9,22.9,27.7,26.6,18.2,13.8,14.2,16.8,16.8,,,,,,
57,평일,3,337,대청,상행,2.6,7.6,25.9,34.8,23.6,16.8,16.1,19.8,14.2,16.6,18.4,16.6,20.3,20.8,9.6,7,6.9,8.7,5.5,,,,,,
58,평일,3,337,대청,하행,3.4,10.8,13.8,15.2,9.6,7.6,8.5,11.7,12.1,14.8,14.4,21,25.5,24.3,16.4,12,12.2,13.8,13.4,,,,,,
59,평일,3,338,일원,상행,2.5,6.7,22.8,31.8,20.6,14.8,14.3,17.8,12.8,14.5,15.2,14.2,17.5,17.6,8.2,6.2,6.3,8.2,5.5,,,,,,
60,평일,3,338,일원,하행,3,8.8,9.8,14,7.8,6,7.9,8.9,10,12.9,13.5,19.8,25,23,15,10.9,10.8,12.2,11.6,,,,,,
61,평일,3,339,수서,상행,2.2,7.1,22.1,30.4,19.3,12.7,11.9,15,11,12.3,11.8,10.7,12.3,16.2,7.2,5.9,6.1,8.8,5.4,,,,,,
62,평일,3,339,수서,하행,3,6.3,8.8,13,7.4,5.2,7.8,8.6,9.1,11.9,12.8,18.9,24.8,22.6,14.1,10,10.2,10.6,10.2,,,,,,
63,평일,3,340,가락시장,상행,4,16.2,26.8,34.2,18.5,11.6,11,13.2,9.5,11.5,10.2,11.8,15.5,16.6,7.2,5.8,5.6,7.6,3.6,,,,,,
64,평일,3,340,가락시장,하행,0,4.4,5.8,10,5.6,4.6,6.5,7,5.8,8.2,8.4,12.1,17,19.5,15.6,8.6,10,12.7,10.4,,,,,,
65,평일,3,341,경찰병원,상행,2.8,11.5,19.5,23.9,12.8,8,7.3,8.8,6.2,7.4,6.3,7.8,9.8,10,4,3.3,3.2,4.4,2,,,,,,
66,평일,3,341,경찰병원,하행,0,3.5,4.5,6.4,3.5,3.4,5.1,5.2,4.4,6.4,7,9.6,14.8,16.6,12.8,6.6,8,9.3,7.6,,,,,,
67,평일,3,342,오금,상행,2.2,9.3,16.6,21.1,10.5,6.2,5.8,7,5,5.6,4.6,6.2,7.4,7,3.2,2.4,2.2,3.4,0.8,,,,,,
68,주말,3,309,지축,상행,6.2,7.4,8,11,19,14.1,16.8,24.7,28.5,29.3,28.2,35.7,34.6,34.7,28.1,21.4,19.1,25.6,23.2,,,,,,
69,주말,3,309,지축,하행,11.5,12.2,19.8,22.5,30,32.1,31.8,33.4,31.6,33.6,30.1,32.2,32,20.5,15.4,9.7,8.6,9.5,4.2,,,,,,
70,주말,3,310,구파발,상행,6.6,7.1,4.2,6.2,9.6,10.3,10,12.6,14.4,14.8,15.6,18.4,20.2,22,15.3,14.4,15.8,16.9,6.3,,,,,,
71,주말,3,310,구파발,하행,1,8,11.3,18.6,20,24,21.3,20.8,19,20.4,18.6,19.9,19.2,16.1,8.9,7.1,8.4,6.3,4,,,,,,
72,주말,3,311,연신내,상행,6.7,8.1,5.7,8.9,13.3,12.6,13.9,15.2,17.9,17.6,19.3,21.6,23.7,23.4,18.6,16.8,20.2,17.8,9.7,,,,,,
73,주말,3,311,연신내,하행,3,10.3,13.4,22,23.3,27.1,26.9,22.8,22.9,21.2,20.1,20.2,19.3,13.4,9.9,7.4,7.8,6.4,5,,,,,,
74,주말,3,312,불광,상행,6.2,7.6,5.9,9.8,14.9,14.1,15.9,17.5,20.9,20.7,23,27,30.6,30.5,24,22.4,25.8,22.8,14.3,,,,,,
75,주말,3,312,불광,하행,4.7,12.2,16,25.3,27.5,31.3,30.8,28,25.6,24.7,23.4,23.8,22.4,15.6,11.2,8.5,9.1,7.1,5.4,,,,,,
76,주말,3,313,녹번,상행,5.5,6.6,5.8,9.3,14.9,14.3,15.1,18.3,20.2,20.8,22.6,27.3,31.2,31.2,24.2,23.2,26.5,22.2,14.6,,,,,,
77,주말,3,313,녹번,하행,5.8,13.6,18,28.1,30.6,33.6,34.7,30.7,27.9,26.6,25,25.1,23.2,15.9,11.2,8.5,8.8,7,4.9,,,,,,
78,주말,3,314,홍제,상행,5,6.2,5.9,9.8,15,14.2,15.2,18.4,20.6,21.4,23.9,29.1,33.8,34.1,26.4,25.8,29.2,24.8,15.3,,,,,,
79,주말,3,314,홍제,하행,7.2,14.5,19,30,35.1,34.5,38,34.3,29.6,29.4,27.1,26.8,24.8,17.9,11.6,8.8,8.6,7,4.4,,,,,,
80,주말,3,315,무악재,상행,4,6.2,6.3,10.5,15.2,14.4,16.2,19,21.5,22.8,25.9,32,36.6,36.7,27.4,29.6,32.1,27.2,17.4,,,,,,
81,주말,3,315,무악재,하행,7.4,14.6,19.4,30.5,35.8,35.3,38.9,34.3,31.1,30,27.7,27.4,25,18,11.6,8.8,8.2,7.5,4.5,,,,,,
82,주말,3,316,독립문,상행,4,6.5,6.4,10.6,15.4,14.6,16.4,19.2,21.8,23.3,26.3,32.7,37.4,37.6,28.1,30.2,32.5,27.8,17.4,,,,,,
83,주말,3,316,독립문,하행,6,14.9,18.2,30.8,36,36,38.6,35.8,32.2,31,29,28.7,26,18.4,11.7,9,8.2,7.5,4.3,,,,,,
84,주말,3,317,경복궁,상행,4,6.6,6.6,11.2,17.3,16.2,17.2,19.7,22.6,23.6,27.3,33.1,38.2,38.3,28.6,30.8,32.7,28.6,18.2,,,,,,
85,주말,3,317,경복궁,하행,7,14.2,17.3,30.2,36.8,34.9,40.6,37.3,34.4,34.5,34.8,36.4,33.8,24.3,16.3,13.4,13.4,11,6.1,,,,,,
86,주말,3,318,안국,상행,4,7.2,7.7,13.6,22,21.2,23.2,27.5,30.1,30.4,32.3,38.3,41.1,39.7,29,30.7,32.3,28.6,15.7,,,,,,
87,주말,3,318,안국,하행,6.9,13.8,16.8,28.8,35.1,33.8,39.3,37.4,35.1,36.3,38.6,42.2,41.1,30,20.1,17,16.8,13.6,6.6,,,,,,
88,주말,3,319,종로3가,상행,3.9,7.7,8.7,15.3,25,25.8,29,34,36.9,36.2,36.1,40.8,41.8,39.4,28.4,31.2,30.4,27.6,15.6,,,,,,
89,주말,3,319,종로3가,하행,5.8,10.6,12.5,22.4,27.4,26.1,29.1,28.4,26.6,28.5,31,33.4,33.1,26,17.2,14.5,14.3,11.4,5.4,,,,,,
90,주말,3,320,을지로3가,상행,2.2,5.3,6.2,11.5,17.7,19.6,23.2,27.3,29.7,28.6,27.1,31.5,32.9,30.8,22.6,24.6,23.5,21.8,12.1,,,,,,
91,주말,3,320,을지로3가,하행,5.1,9.4,10.5,19.4,23.7,23.6,25.8,25.5,24.4,26.6,27.3,30.4,31,24.8,16.8,14.1,14.6,12.4,6.7,,,,,,
92,주말,3,321,충무로,상행,2,4.8,5.8,10.8,16,18,22,25.6,27.9,27,24.7,29.6,31.7,28.4,19.8,21.9,20.1,18.7,10.4,,,,,,
93,주말,3,321,충무로,하행,5.3,12.3,12.4,22.5,27.5,26.4,28.8,27.6,26.4,28.2,29,32.4,31.6,25.5,17.1,15.2,15,12.2,6.7,,,,,,
94,주말,3,322,동대입구,상행,2.6,4,5.8,10.3,15.7,17.4,22.8,27.2,29.7,29.1,26.7,33,35.3,30.3,21.4,25.3,23.1,21,11.1,,,,,,
95,주말,3,322,동대입구,하행,5.4,11.6,11.6,20.2,25.8,25,27.6,27.2,26.1,28.1,29.2,32.8,32.3,25.8,17.4,15.6,15.2,13.4,7.1,,,,,,
96,주말,3,323,약수,상행,2.6,4.2,6,11.3,16.8,18.3,23.8,27.2,29.8,28,27,32.2,33.4,29.1,20.8,25,22.6,20,11.1,,,,,,
97,주말,3,323,약수,하행,6.9,14.6,12.4,23.8,30.8,29.4,33,31.4,30.4,31.9,32.6,35.7,36.3,28.7,19.7,16.2,15.6,14.9,8.4,,,,,,
98,주말,3,324,금호,상행,3.5,4.4,6.2,11.8,17,18.9,26,30,32.9,30.8,30.6,36.7,39,33.4,25.1,30.3,25.3,24,12.1,,,,,,
99,주말,3,324,금호,하행,7.6,14.8,12.7,25.2,31.3,29,33.4,31.6,30.8,31.8,32.1,35.5,35.8,28.1,19.2,15.9,15,14.3,7.8,,,,,,
100,주말,3,325,옥수,상행,3.1,4.5,5.8,11.6,16.5,19.4,25.8,29.6,32.5,30,31.5,37.1,38.4,34.7,25,31,25.7,24.6,12.8,,,,,,
101,주말,3,325,옥수,하행,9.6,15.6,14,27.8,34.7,32.4,36.8,34.6,33.8,34.4,34.7,37.8,38.1,29.3,20,16.2,15.2,14.4,7.8,,,,,,
102,주말,3,326,압구정,상행,3,4.8,6.1,12.3,16.8,19.8,26.9,31.3,34.2,31.9,35.2,40.4,42.4,38.3,28.2,35,28.8,27.1,13.6,,,,,,
103,주말,3,326,압구정,하행,3,15.2,12.7,21.6,27.7,27.8,33.6,32.4,32,34,35.2,39.1,39.5,31.4,22.6,19.5,19.1,17.1,8.6,,,,,,
104,주말,3,327,신사,상행,2.6,5.4,7.2,16,22.1,23.6,29.2,33.9,36.2,31.7,34.2,38.1,39.4,34.3,24.8,28.9,24.5,24.5,11.6,,,,,,
105,주말,3,327,신사,하행,3.6,14.3,11.9,20,23.7,25,31.7,30.8,31.4,34.2,37.5,41.5,43.4,34.6,26,24.4,24.4,23.2,11.2,,,,,,
106,주말,3,328,잠원,상행,2.3,6.3,8.3,18.4,27.2,29.5,34,39.4,40.6,35.4,36.1,40,40.8,34.7,23,27.6,21.2,20.3,8.6,,,,,,
107,주말,3,328,잠원,하행,3.7,14.4,11.9,20.2,23.9,25.2,32.1,31.2,31.8,34.3,37.6,41.6,43.6,34.7,26,24.5,24.3,23,11,,,,,,
108,주말,3,329,고속터미널,상행,2.3,6.6,8.4,18.5,27.2,29.4,34.1,39.3,40.6,35.5,36.2,40.4,40.9,34.9,23.3,27.9,21.3,20.6,8.9,,,,,,
109,주말,3,329,고속터미널,하행,3.8,17.5,12.1,23.8,27.6,27.6,34.3,34.8,34.4,37.3,38.1,43.8,44.5,37.4,29,28.4,25,23.5,11.1,,,,,,
110,주말,3,330,교대,상행,3.1,7.8,10.2,20.6,26.4,29.6,35.6,41.2,42.7,37.6,41.1,45.3,43.5,37.6,24.2,26.2,23.6,21.6,9.5,,,,,,
111,주말,3,330,교대,하행,5,16.7,11.2,22.4,23.5,23.8,26.9,27.2,28.1,30,30.1,34,34.4,28.4,23.1,22.6,19,19.6,9.3,,,,,,
112,주말,3,331,남부터미널,상행,2.4,6.2,8.7,16.2,21.5,24.4,30.8,34.6,34.8,30,33.6,36.4,35.7,28.6,19.3,20.4,18.2,16.1,7.2,,,,,,
113,주말,3,331,남부터미널,하행,4.4,13.4,8.9,17.8,19.6,18.8,22,21.8,22.2,24,24.6,28.1,29,23.9,19.5,19.8,17.7,18.4,8.8,,,,,,
114,주말,3,332,양재,상행,2.2,6,8.5,15.1,19.6,21.8,26.5,29.7,29.4,25,27.7,30.2,28.8,22.5,14.4,15.3,14,13.1,5.9,,,,,,
115,주말,3,332,양재,하행,1.8,7.6,5,8.7,11.2,10.4,12.8,13.2,13.3,14.4,15.6,17.5,17.3,15.8,11.9,11.2,10.8,11.2,6.2,,,,,,
116,주말,3,333,매봉,상행,2,5,6.5,11.6,14,15.2,16.5,18.4,18.3,14.9,16.4,17.9,17.5,12.6,7.8,8,7.4,8,4,,,,,,
117,주말,3,333,매봉,하행,2,7,4.7,7.9,10.2,9.8,11.4,12.9,12.4,13.8,14.9,16.8,16.2,15.2,11.2,10.9,10.3,11.2,6,,,,,,
118,주말,3,334,도곡,상행,2,4.7,6.3,11.3,13.6,14.6,15.9,17.6,17.5,13.6,15.4,16.8,16.6,11.8,7.2,7.4,6.3,7.2,3.8,,,,,,
119,주말,3,334,도곡,하행,1.9,6.2,4.2,7,9.1,8.7,9.6,11.1,11.2,11.6,13.2,14.6,14,13.7,10.4,9.4,9,10.2,5.4,,,,,,
120,주말,3,335,대치,상행,1.9,4.2,5.6,10.7,12.1,13.1,13.9,15.8,15.5,12,13.5,14.7,14.2,10.3,6.1,6.1,5.2,6.1,3.4,,,,,,
121,주말,3,335,대치,하행,2.2,5.4,3.8,5.7,7,7.8,8.3,9.9,9.8,10.8,12,12.7,13.4,12.2,9.8,8.6,8.4,9.6,4.8,,,,,,
122,주말,3,336,학여울,상행,1.5,4.1,5.1,10,11.7,12.2,12.7,14.2,14.1,10.7,11.6,12.7,12.1,8.4,5.1,5.2,4.3,4.7,3.2,,,,,,
123,주말,3,336,학여울,하행,2.2,5.8,3.7,5.1,6.3,6.2,7,8.7,8.8,9.7,11.6,12.7,13.5,12.1,9.6,8.5,8.3,9.5,4.6,,,,,,
124,주말,3,337,대청,상행,1.4,4.2,5,10,11.9,12.5,12.5,13.8,13,9.5,10.6,10.4,11,7.4,4.9,5.1,4.2,4.6,3.2,,,,,,
125,주말,3,337,대청,하행,2.1,5.4,3.5,4.9,6.1,6,6.7,8.2,8,8.9,10.5,11.5,11.9,10.6,8.2,7.6,7.2,8.2,4.1,,,,,,
126,주말,3,338,일원,상행,1.2,3.8,4.4,8.8,10.3,11,10.9,12.3,11.5,8.4,9.6,9.3,10.1,6.8,4.7,4.6,3.8,4.2,3.4,,,,,,
127,주말,3,338,일원,하행,2.1,4.8,3,4.2,5.4,5.5,6.2,8,7.5,8,10.1,10.5,11.1,9.8,7.6,6.7,6.8,7,3.6,,,,,,
128,주말,3,339,수서,상행,1.5,3.4,4.7,8.8,9.3,10.3,9.4,10.4,10.1,7.8,8.2,9,9.1,6.4,4.5,4.5,3.8,3.9,3.4,,,,,,
129,주말,3,339,수서,하행,2,3.6,2.3,4,4.8,5.9,6.6,7.5,7.6,7,9.7,9.9,10.6,9.1,6.8,6.3,6.1,6.8,3.6,,,,,,
130,주말,3,340,가락시장,상행,2.8,6.2,4.8,8.8,9.6,9.1,8.3,10.4,9.2,7.5,7.7,8.2,9,6.6,4.8,5.2,4.3,3.2,2.3,,,,,,
131,주말,3,340,가락시장,하행,0,2.7,1.5,2.8,3.2,3.5,3.9,4.3,4.4,4.4,5.6,6.4,7.5,6.4,5.1,5.5,5,5.4,5.6,,,,,,
132,주말,3,341,경찰병원,상행,1.8,4.3,3.4,6.3,6.5,6.1,5.6,7,6.4,4.8,5,5.2,5.6,3.5,2.6,2.7,2.4,1.7,0.6,,,,,,
133,주말,3,341,경찰병원,하행,0,2.2,1.2,2.1,2.8,3,3,3.8,3.5,3.8,4.6,5.1,6.1,4.9,4.1,4.3,3.8,4.2,3.6,,,,,,
134,주말,3,342,오금,상행,1.6,3.8,2.8,5.2,5.2,4.8,4.4,5.5,5,3.9,4,4.2,4.5,3,2.2,2.1,2,1.4,0.4,,,,,,
135,평일,3,309,지축,상행,,,,,,13.1,17.3,21,23.8,26.5,33.8,39.3,53.4,106.6,74.2,40.8,39,36.4,29,11,13.5,17.1,21.8,16.1,13.8
136,평일,3,309,지축,하행,,,,,,40.7,36.4,33.1,28.6,24,25.2,28,29.6,29.6,17.2,11,9.5,9.3,4.8,17.7,41,94.1,90.6,62.4,2.2
137,평일,3,310,구파발,상행,,,,,,9.1,11.2,17.5,20.2,18.2,30.9,29,56.5,56.2,41.6,25.6,27.1,20.8,16.8,12.2,10.8,11.5,11.6,8.6,3.6
138,평일,3,310,구파발,하행,,,,,,38.2,29.6,30.6,30.3,20.5,27.7,26.2,23.2,19.3,10.8,9.1,9.4,8.5,4.6,7.7,29.8,62.3,76,42.6,2
139,평일,3,311,연신내,상행,,,,,,12.1,14.2,20.6,24.8,23,37.9,37.6,65.9,74,45.6,33.6,30.8,28.2,19.8,12.6,12.8,14,14,11.4,6.1
140,평일,3,311,연신내,하행,,,,,,44.6,30,32.7,32.4,22.2,27.4,26.8,20.6,16.8,10.4,7.6,8.8,7.6,4.4,11.7,34.1,70.1,84.9,51.6,2
141,평일,3,312,불광,상행,,,,,,13.9,17.4,25,28.8,28.2,47.2,46.4,82.9,95.8,60.7,43.1,39.4,37.2,25.4,10.2,13.2,14.9,15.2,12.8,9.8
142,평일,3,312,불광,하행,,,,,,49.6,35.7,35,37.2,25.8,30.3,30,23.5,21,12.1,8.9,10.2,8.6,5.8,15.8,39.8,79,101.8,61.6,2.3
143,평일,3,313,녹번,상행,,,,,,13.6,17.2,25.7,28.2,28.4,48,46.6,84.2,96.6,61.6,44.3,39.2,38.2,26.6,9,10.8,13.1,13.5,12.6,10.9
144,평일,3,313,녹번,하행,,,,,,54.2,38.7,37.7,40.1,27.2,31,31.3,24.5,21.8,12.8,9,10,8.6,5.6,18.7,45.2,89.8,117.2,70.9,2.2
145,평일,3,314,홍제,상행,,,,,,13.4,17.8,27.1,29.2,30.4,51,50.6,99.5,107,69.6,49.4,44.5,42.6,30.4,8.2,10.3,12.2,13.2,12.6,12.8
146,평일,3,314,홍제,하행,,,,,,58.4,42.6,40.2,45.5,28.9,32,34.7,25.8,23.6,12.8,9.1,10.2,8.4,5.8,21.3,45.5,94,127.3,76.6,1.9
147,평일,3,315,무악재,상행,,,,,,14.2,19.2,28.2,30.9,32.2,56.4,54.6,106.8,113.1,75,52,47.8,48.2,30.6,7.4,10.2,12.2,13.4,13.4,12.8
148,평일,3,315,무악재,하행,,,,,,60.1,42.8,42.2,45.5,29.4,32.4,36.1,25.9,24.5,12.6,9.2,10.5,8.4,5.8,21.8,46.6,94.5,132.6,79.1,1.8
